OpenJDK 64-Bit Server VM (25.342-b07) for windows-amd64 JRE (1.8.0_342-b07), built on Jul 21 2022 18:16:14 by "Administrator" with MS VC++ 12.0 (VS2013)
Memory: 4k page, physical 33393912k(19527928k free), swap 35491064k(15378820k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=33554432 -XX:+ManagementServer -XX:MaxHeapSize=33554432 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
77.858: [GC (Allocation Failure) 77.858: [DefNew: 8742K->36K(9792K), 0.0009414 secs] 24478K->15772K(31680K), 0.0009737 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.871: [GC (Allocation Failure) 77.871: [DefNew: 8740K->37K(9792K), 0.0010125 secs] 24476K->15773K(31680K), 0.0010469 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.884: [GC (Allocation Failure) 77.884: [DefNew: 8741K->32K(9792K), 0.0009522 secs] 24477K->15768K(31680K), 0.0009845 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.898: [GC (Allocation Failure) 77.898: [DefNew: 8736K->34K(9792K), 0.0011573 secs] 24472K->15770K(31680K), 0.0011983 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.912: [GC (Allocation Failure) 77.912: [DefNew: 8738K->25K(9792K), 0.0009203 secs] 24474K->15762K(31680K), 0.0009514 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.926: [GC (Allocation Failure) 77.926: [DefNew: 8729K->26K(9792K), 0.0009096 secs] 24466K->15764K(31680K), 0.0009407 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.940: [GC (Allocation Failure) 77.940: [DefNew: 8730K->26K(9792K), 0.0010045 secs] 24468K->15768K(31680K), 0.0010365 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.953: [GC (Allocation Failure) 77.953: [DefNew: 8730K->26K(9792K), 0.0009238 secs] 24472K->15769K(31680K), 0.0009523 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.968: [GC (Allocation Failure) 77.968: [DefNew: 8730K->23K(9792K), 0.0010521 secs] 24473K->15765K(31680K), 0.0010849 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.982: [GC (Allocation Failure) 77.982: [DefNew: 8727K->28K(9792K), 0.0010630 secs] 24469K->15770K(31680K), 0.0010981 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.998: [GC (Allocation Failure) 77.998: [DefNew: 8732K->22K(9792K), 0.0009323 secs] 24474K->15765K(31680K), 0.0009630 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.011: [GC (Allocation Failure) 78.011: [DefNew: 8726K->24K(9792K), 0.0009804 secs] 24469K->15766K(31680K), 0.0010146 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.026: [GC (Allocation Failure) 78.026: [DefNew: 8728K->21K(9792K), 0.0010423 secs] 24470K->15765K(31680K), 0.0010751 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
78.042: [GC (Allocation Failure) 78.042: [DefNew: 8725K->26K(9792K), 0.0009600 secs] 24469K->15770K(31680K), 0.0009915 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.059: [GC (Allocation Failure) 78.059: [DefNew: 8730K->15K(9792K), 0.0009593 secs] 24474K->15759K(31680K), 0.0009989 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.074: [GC (Allocation Failure) 78.074: [DefNew: 8719K->19K(9792K), 0.0011546 secs] 24463K->15763K(31680K), 0.0011957 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.091: [GC (Allocation Failure) 78.091: [DefNew: 8723K->21K(9792K), 0.0009686 secs] 24467K->15764K(31680K), 0.0010090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.106: [GC (Allocation Failure) 78.107: [DefNew: 8725K->19K(9792K), 0.0010211 secs] 24468K->15763K(31680K), 0.0010548 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.123: [GC (Allocation Failure) 78.123: [DefNew: 8723K->23K(9792K), 0.0009860 secs] 24467K->15767K(31680K), 0.0010185 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.142: [GC (Allocation Failure) 78.142: [DefNew: 8727K->17K(9792K), 0.0010687 secs] 24471K->15762K(31680K), 0.0011044 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.159: [GC (Allocation Failure) 78.159: [DefNew: 8721K->14K(9792K), 0.0009736 secs] 24466K->15759K(31680K), 0.0010092 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.179: [GC (Allocation Failure) 78.179: [DefNew: 8718K->11K(9792K), 0.0010096 secs] 24463K->15756K(31680K), 0.0010461 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.201: [GC (Allocation Failure) 78.201: [DefNew: 8715K->14K(9792K), 0.0009240 secs] 24460K->15760K(31680K), 0.0009571 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.227: [GC (Allocation Failure) 78.227: [DefNew: 8718K->11K(9792K), 0.0008827 secs] 24464K->15756K(31680K), 0.0009176 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
